City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouldiness,Wind Speed,Current Description
329,Vao,NC,-22.6667,167.4833,76.8,81,94,10.78,overcast clouds
330,Arteaga,MX,18.4667,-102.4167,64.99,78,3,2.17,clear sky
331,Aswan,EG,24.0934,32.907,58.3,44,0,5.75,clear sky
332,Beloha,MG,-25.1667,45.05,71.65,62,0,4.7,clear sky
333,Saquarema,BR,-22.92,-42.5103,69.4,80,42,5.93,scattered clouds
334,Haines Junction,CA,60.7522,-137.5108,6.75,85,79,1.14,broken clouds
335,Tairua,NZ,-37.0167,175.85,65.25,94,94,8.77,overcast clouds
336,Zhigansk,RU,66.7697,123.3711,-13.81,87,100,15.55,overcast clouds
337,Sobolevo,RU,54.4299,31.8996,23.94,81,8,5.86,clear sky
338,Buchanan,LR,5.8808,-10.0467,75.97,88,27,1.9,scattered clouds
339,Murgab,TM,37.4966,61.9714,48.07,66,0,11.5,clear sky
340,Dikson,RU,73.5069,80.5464,1.4,92,100,20.56,overcast clouds
341,Plateros,MX,23.2167,-102.85,56.52,29,34,8.05,scattered clouds
342,Broken Hill,AU,-31.95,141.4333,66.85,29,0,7.83,clear sky
343,Sola,VU,-13.8833,167.55,82.69,70,15,6.64,few clouds
344,Rawatsar,IN,29.2833,74.3833,69.31,30,0,5.55,clear sky
345,Moose Factory,CA,51.2585,-80.6094,15.8,85,75,9.22,broken clouds
346,Arcos,BR,-20.2819,-45.5394,65.52,82,78,10.09,broken clouds
347,Vagur,FO,61.4732,-6.8119,48.65,87,100,31.81,overcast clouds
